row_id,publishers
35677,Ystari Games
35677,Z-Man Games
125153,Eagle-Gryphon Games
125153,Angry Lion Games
125153,CrowD Games
125153,Fire on Board Jogos
125153,Fruhling-Honpo
125153,Giochix.it
125153,Korea Boardgames
125153,Maldito Games
125153,sternenschimmermeer
125153,YOKA Games
124742,Fantasy Flight Games
124742,Arclight Games
124742,Edge Entertainment
124742,Galakta
124742,Game Harbor
124742,Giochi Uniti
124742,Heidelberger Spieleverlag
124742,Korea Boardgames
200680,Lookout Games
200680,999 Games
200680,asmodee
200680,Brädspel.se
200680,Compaya.hu: Gamer Café Kft.
200680,Devir
200680,Funforge
200680,Galápagos Jogos
200680,GoKids 玩樂小子
200680,Hobby Japan
200680,Hobby World
200680,Korea Boardgames
200680,Lacerta
200680,Lautapelit.fi
200680,Mayfair Games
200680,Rebel Sp. z o.o.
200680,"Swan Panasia Co., Ltd."
200680,uplay.it edizioni
337627,Mindclash Games
337627,Albi
337627,CrowD Games
337627,DiceTree Games
337627,Engames
337627,Ghenos Games
337627,Grok Games
337627,Maldito Games
337627,Portal Games
337627,Quality Beast
337627,Rozum
337627,Skellig Games
