bgg_id,best,recommended,not_recommended
66837,4,1,8+
142326,4,2,1
60,4,3,1
422332,2,1,2+
407343,2,1,2+
354,4,5,2
298102,3,1,5
268620,4,2,1
398,4,3,1
833,2,1,2+
37836,2,1,2+
244536,3,2,5+
271869,4,3,1
350205,4,3,1
91080,4,2,4+
176544,4,3,1
301257,3,2,1
365104,4,2,5+
154246,4,2,1
5737,4,3,1
222514,2,3,4+
244049,3,2,1
240855,4,1,5+
207243,1,2,4+
1301,2,2+,1
43443,4,2,6+
338093,2,3,4
386166,2,3,1
282954,4,2,1
180899,4,5,1
256606,2,1,1
345976,2,1,1
1115,6,7,1
326934,2,2,1
392023,2,2,4+
397931,3,2,5
551,2,1,1
213266,2,1,2+
229265,4,3,4+
1822,2,1,2+
233961,2,2+,1
183571,1,1,1+
440007,3,2,1
338628,2,3,4+
234669,1,2,6+
241477,3,2,1
225482,5,4,1
403754,3,2,1
291859,2,1,2+
188547,4,2,6+
137297,4,2,1
44163,4,3,1
163642,3,2,1
332386,3,2,1
314088,1,2,4+
192074,2,1,1
152162,4,3,1
82168,6,4,1
85897,2,1,5+
183880,2,4,1
331820,3,1,4+
302388,2,4,4+
218421,1,3,4
338376,2,1,2+
369646,2,3,5
71671,2,1,6+
382518,3,2,4+
8989,2,4,1
254127,4,3,2
45986,2,3,1
197070,4,2,6
228660,5,3,1
257614,2,4,4+
140933,4,3,1
207336,4,2,1
164265,4,4+,1
437306,3,1,5+
156091,4,3,1
386937,2,2,1
257518,2,1,2+
104020,4,5,1
149155,4,3,1
344258,2,1,2+
293835,4,2,4+
295785,2,3,4+
22141,4,3,1
298371,2,1,5+
105,3,4,1
366683,4,2,6+
16395,2,2,1
318472,2,2,1
124,4,3,1
339958,3,2,1
216092,2,1,6+
184151,2,2+,1
13823,4,3,1
408547,4,3,1
378387,3,2,4+
219101,1,2,3+
226520,2,1,4+
195162,4,2,4+
